comment_id,comment_text,segmented_text,tokens_segmented_text,stemmed_segmented_text,true_aspect,predicted_aspect,similarity_score
1,Pemasangan baru tidak ada kelanjutan setelah survey. Padahal katanya bisa komplain cs lewat wa.sedangkan di wa gak ada tanggapan….,pemasangan baru tidak ada kelanjutan survey .,"['pemasangan', 'baru', 'tidak', 'ada', 'kelanjutan', 'survey', '.']",pasang baru tidak ada lanjut survey .,Pemasangan,Pemasangan,0.5304004863248398
1,Pemasangan baru tidak ada kelanjutan setelah survey. Padahal katanya bisa komplain cs lewat wa.sedangkan di wa gak ada tanggapan….,padahal katanya komplain pelayanan pelanggan whatsapp .,"['padahal', 'katanya', 'komplain', 'pelayanan', 'pelanggan', 'whatsapp', '.']",padahal kata komplain layan langgan whatsapp .,Pelayanan,Pelayanan,0.5422492976309222
1,Pemasangan baru tidak ada kelanjutan setelah survey. Padahal katanya bisa komplain cs lewat wa.sedangkan di wa gak ada tanggapan….,sedangkan whatsapp tidak ada tanggapan .,"['sedangkan', 'whatsapp', 'tidak', 'ada', 'tanggapan', '.']",sedang whatsapp tidak ada tanggap .,Pelayanan,Pelayanan,0.3706520827645108
13,"Halo Kak selamat malam, maaf mengganggu waktunya, saya ingin menyampaikan keluhan terkait aliran air PDAM di wilayah tempat tinggal saya di daerah keputih makam Blk. E1. Sudah cukup lama air hanya mengalir pada malam hari, sekitar pukul 23.00 ke atas, dari pagi hingga sore hari sama sekali tidak ada aliran air. Hal ini tentu sangat menyulitkan aktivitas rumah tangga kami. Selain itu, tekanan air yang masuk ke rumah sangat kecil. Bahkan jika saya lupa menutup valve pipa, air di tandon bisa tersedot habis, diduga karena sistem distribusi air di lingkungan kami menggunakan skema seri, bukan paralel. Ini menyebabkan aliran air tidak stabil dan tidak tersedia selama 24 jam.","halo kakak selamat malam , maaf mengganggu , keluhan terkait aliran air pdam wilayah daerah keputih makam blok . nya . sudah lama air mengalir malam , . , pagi hingga sore sekali tidak ada aliran air . sangat menyulitkan aktivitas rumah tangga . , tekanan air masuk rumah sangat kecil . lupa menutup katup pipa , air tandon tersedot habis , duga","['halo', 'kakak', 'selamat', 'malam', ',', 'maaf', 'mengganggu', ',', 'keluhan', 'terkait', 'aliran', 'air', 'pdam', 'wilayah', 'daerah', 'keputih', 'makam', 'blok', '.', 'nya', '.', 'sudah', 'lama', 'air', 'mengalir', 'malam', ',', '.', ',', 'pagi', 'hingga', 'sore', 'sekali', 'tidak', 'ada', 'aliran', 'air', '.', 'sangat', 'menyulitkan', 'aktivitas', 'rumah', 'tangga', '.', ',', 'tekanan', 'air', 'masuk', 'rumah', 'sangat', 'kecil', '.', 'lupa', 'menutup', 'katup', 'pipa', ',', 'air', 'tandon', 'tersedot', 'habis', ',', 'duga']","halo kakak selamat malam , maaf ganggu , keluh kait alir air pdam wilayah daerah putih makam blok . nya . sudah lama air alir malam , . , pagi hingga sore sekali tidak ada alir air . sangat sulit aktivitas rumah tangga . , tekan air masuk rumah sangat kecil . lupa tutup katup pipa , air tandon sedot habis , duga",Air Tidak Mengalir,Air Tidak Mengalir,0.2954693609243856
13,"Halo Kak selamat malam, maaf mengganggu waktunya, saya ingin menyampaikan keluhan terkait aliran air PDAM di wilayah tempat tinggal saya di daerah keputih makam Blk. E1. Sudah cukup lama air hanya mengalir pada malam hari, sekitar pukul 23.00 ke atas, dari pagi hingga sore hari sama sekali tidak ada aliran air. Hal ini tentu sangat menyulitkan aktivitas rumah tangga kami. Selain itu, tekanan air yang masuk ke rumah sangat kecil. Bahkan jika saya lupa menutup valve pipa, air di tandon bisa tersedot habis, diduga karena sistem distribusi air di lingkungan kami menggunakan skema seri, bukan paralel. Ini menyebabkan aliran air tidak stabil dan tidak tersedia selama 24 jam.","karena sistem distribusi air lingkungan menggunakan skema seri , bukan paralel . menyebabkan aliran air tidak stabil tidak tersedia jam .","['karena', 'sistem', 'distribusi', 'air', 'lingkungan', 'menggunakan', 'skema', 'seri', ',', 'bukan', 'paralel', '.', 'menyebabkan', 'aliran', 'air', 'tidak', 'stabil', 'tidak', 'tersedia', 'jam', '.']","karena sistem distribusi air lingkung guna skema seri , bukan paralel . sebab alir air tidak stabil tidak sedia jam .",Lainnya,Lainnya,0.35869389456065737
22,"Kenapa ya PDAM saya itu dulunya tarifnya gol 1.3 tiba-tiba berubah jadi 2.1 padahal tetangga saya semuanya tarif gol nya 1.3 ada yg seperti saya tapi itu punya kos sedangkan saya saja rumah pribadi dan GK menyalurkan air ke tetangga rumah saya juga GK besar malahan ada lho dipintunya tulisan ""keluarga miskin"" yg dari pemerintah gara-gara hal itu tarif PDAM saya menjadi banyak setiap bulannya padahal saya sampai ngirit pakai air nya",pdam tarif golongan . berubah .,"['pdam', 'tarif', 'golongan', '.', 'berubah', '.']",pdam tarif golong . ubah .,Perubahan Kode Tarif,Perubahan Kode Tarif,0.4250354202982776
22,"Kenapa ya PDAM saya itu dulunya tarifnya gol 1.3 tiba-tiba berubah jadi 2.1 padahal tetangga saya semuanya tarif gol nya 1.3 ada yg seperti saya tapi itu punya kos sedangkan saya saja rumah pribadi dan GK menyalurkan air ke tetangga rumah saya juga GK besar malahan ada lho dipintunya tulisan ""keluarga miskin"" yg dari pemerintah gara-gara hal itu tarif PDAM saya menjadi banyak setiap bulannya padahal saya sampai ngirit pakai air nya",padahal tetangga tarif golongan nya . ada,"['padahal', 'tetangga', 'tarif', 'golongan', 'nya', '.', 'ada']",padahal tetangga tarif golong nya . ada,Harga,Harga,0.4075169415868005
22,"Kenapa ya PDAM saya itu dulunya tarifnya gol 1.3 tiba-tiba berubah jadi 2.1 padahal tetangga saya semuanya tarif gol nya 1.3 ada yg seperti saya tapi itu punya kos sedangkan saya saja rumah pribadi dan GK menyalurkan air ke tetangga rumah saya juga GK besar malahan ada lho dipintunya tulisan ""keluarga miskin"" yg dari pemerintah gara-gara hal itu tarif PDAM saya menjadi banyak setiap bulannya padahal saya sampai ngirit pakai air nya",tapi kos,"['tapi', 'kos']",tapi kos,Lainnya,Lainnya,0.6425268390139496
22,"Kenapa ya PDAM saya itu dulunya tarifnya gol 1.3 tiba-tiba berubah jadi 2.1 padahal tetangga saya semuanya tarif gol nya 1.3 ada yg seperti saya tapi itu punya kos sedangkan saya saja rumah pribadi dan GK menyalurkan air ke tetangga rumah saya juga GK besar malahan ada lho dipintunya tulisan ""keluarga miskin"" yg dari pemerintah gara-gara hal itu tarif PDAM saya menjadi banyak setiap bulannya padahal saya sampai ngirit pakai air nya",sedangkan rumah pribadi ga menyalurkan air tetangga rumah ga besar malahan ada loh pintu` tulisan keluarga miskin pemerintah gara gara tarif pdam banyak,"['sedangkan', 'rumah', 'pribadi', 'ga', 'menyalurkan', 'air', 'tetangga', 'rumah', 'ga', 'besar', 'malahan', 'ada', 'loh', 'pintu', '`', 'tulisan', 'keluarga', 'miskin', 'pemerintah', 'gara', 'gara', 'tarif', 'pdam', 'banyak']",sedang rumah pribadi ga salur air tetangga rumah ga besar malah ada loh pintu  tulis keluarga miskin perintah gara gara tarif pdam banyak,Harga,Lainnya,0.2588905663644876
22,"Kenapa ya PDAM saya itu dulunya tarifnya gol 1.3 tiba-tiba berubah jadi 2.1 padahal tetangga saya semuanya tarif gol nya 1.3 ada yg seperti saya tapi itu punya kos sedangkan saya saja rumah pribadi dan GK menyalurkan air ke tetangga rumah saya juga GK besar malahan ada lho dipintunya tulisan ""keluarga miskin"" yg dari pemerintah gara-gara hal itu tarif PDAM saya menjadi banyak setiap bulannya padahal saya sampai ngirit pakai air nya",padahal sampai irit pakai air nya,"['padahal', 'sampai', 'irit', 'pakai', 'air', 'nya']",padahal sampai irit pakai air nya,Pemakaian,Pemakaian,0.47590807379645494
40,"Saya sudah mengajukan penggantian meteran, karena meteran rumah yg saya tinggali macet/rusak, sejak tanggal 23 Januari 2025 dan sampai sekarang belum ada tindak lanjut. Dengan no pengaduan PM2025000000825. LALU TAGIHAN SAYA BULAN JANUARI METERAN AKHIR 136 TAPI DI TAGIHAN BULAN FEBRUARI METERAN AWAL 116 DAN METERAN AKHIR 136. PADAHAL SAYA SUDAH LAPOR METERAN SAYA MACET/RUSAK, TAPI MALAH CATATAN METERAN YG DIUBAH-UBAH","sudah mengajukan pergantian meter ,","['sudah', 'mengajukan', 'pergantian', 'meter', ',']","sudah aju ganti meter ,",Meteran (Macet/Bermasalah),Meteran (Macet/Bermasalah),0.5784286460830282
