comment_id,comment_text,segmented_text,stemmed_segmented_text,true_aspect,predicted_aspect,similarity_score
22,"Kenapa ya PDAM saya itu dulunya tarifnya gol 1.3 tiba-tiba berubah jadi 2.1 padahal tetangga saya semuanya tarif gol nya 1.3 ada yg seperti saya tapi itu punya kos sedangkan saya saja rumah pribadi dan GK menyalurkan air ke tetangga rumah saya juga GK besar malahan ada lho dipintunya tulisan ""keluarga miskin"" yg dari pemerintah gara-gara hal itu tarif PDAM saya menjadi banyak setiap bulannya padahal saya sampai ngirit pakai air nya",sedangkan rumah pribadi ga menyalurkan air tetangga rumah ga besar malahan ada loh pintu` tulisan keluarga miskin pemerintah gara gara tarif pdam banyak,sedang rumah pribadi ga salur air tetangga rumah ga besar malah ada loh pintu  tulis keluarga miskin perintah gara gara tarif pdam banyak,Harga,Lainnya,0.276607347065518
40,"Saya sudah mengajukan penggantian meteran, karena meteran rumah yg saya tinggali macet/rusak, sejak tanggal 23 Januari 2025 dan sampai sekarang belum ada tindak lanjut. Dengan no pengaduan PM2025000000825. LALU TAGIHAN SAYA BULAN JANUARI METERAN AKHIR 136 TAPI DI TAGIHAN BULAN FEBRUARI METERAN AWAL 116 DAN METERAN AKHIR 136. PADAHAL SAYA SUDAH LAPOR METERAN SAYA MACET/RUSAK, TAPI MALAH CATATAN METERAN YG DIUBAH-UBAH","karena meter rumah macet rusak , tanggal januari sampai sekarang belum ada tindak . pengaduan .","karena meter rumah macet rusak , tanggal januari sampai sekarang belum ada tindak . adu .",Pelayanan,Air Tidak Mengalir,0.47954506824135545
43,"pak mau tanya no pelanggan 1032499 an Ny. Mustiani Wikanti Pulo Wonokromo Wetan 4 knp gol. tarifny berubah yg awalnya 2.1 skrg berubah jadi 3.2A knp gol. tarifny berubah yg awalnya 2.1 skrg berubah jadi 3.2A ini sebenarnya udah lama berubah, tapi saya baru diberitahu orang tua saya,. knp seenaknya merubah, ini memberatkan loh, alasan dirubah dulu krn petugas keliling meteran bilang krn rumah dibuat kost, alasan apa itu, saya harap kembalikan ke gol tarif 2.1 terima kasih","pelanggan nya . pulo wonokromo wetan golongan . tarif berubah . sekarang berubah . golongan . tarif berubah . sekarang berubah . sudah lama berubah ,","langgan nya . pulo wonokromo wetan golong . tarif ubah . sekarang ubah . golong . tarif ubah . sekarang ubah . sudah lama ubah ,",Perubahan Kode Tarif,Lainnya,0.7278523705051563
46,"Kak saya warga Dukuh Kupang, PDAM yg mengalir kecil sekali,  dulu ga seperti ini, semenjak pengerjaan gorong2 yg di depan kampus WK itu malah makin parah air mengalir nya, Tp tagihan tetep banyak",tapi tagihan tetap banyak,tapi tagih tetap banyak,Harga,Lainnya,0.4402424759869967
48,"Saya sudah di kunjungi 3x oleh petugas pdam selama 3 tahun terakhir, yg katanya ""Meteran Bakal di Ganti yg Baru "" bahkan petugas ketiga yg datang saya titipkan pesan ""bukan hoax"" kan, karena terakhir petugas yg datang ternyata cuma omon omon saja. Jd saya sdh gk perduli, mau di ganti silahkan gak di ganti jg gpp. Toh selama ini meteran air sy lancar2 saja, walau agak berembun dan angkanya sulit terbaca. Toh selama ini tiap bulan bayar aor murah2 saja :folded_hands:","sudah kunjung petugas pdam , katanya meter ganti baru petugas datang titip pesan bukan isu bohong kan ,","sudah kunjung tugas pdam , kata meter ganti baru tugas datang titip pesan bukan isu bohong kan ,",Pelayanan,Air Tidak Mengalir,0.3735362585726215
52,"@pdamsuryasembada meteran saya sudah diganti, tapi air malah macet, apakah karena saya belum bayar? saya belum bayar karena ada LONJAKAN TAGIHAN TIDAK WAJAR  Saat meteran rusak , masak bisa sampai 2x tagihan rata-rata per Bulan, mohon segera ditindak lanj","meter sudah ganti ,","meter sudah ganti ,",Meteran (Macet/Bermasalah),Pemasangan,0.41817762936438374
52,"@pdamsuryasembada meteran saya sudah diganti, tapi air malah macet, apakah karena saya belum bayar? saya belum bayar karena ada LONJAKAN TAGIHAN TIDAK WAJAR  Saat meteran rusak , masak bisa sampai 2x tagihan rata-rata per Bulan, mohon segera ditindak lanj","tapi air macet ,","tapi air macet ,",Air Tidak Mengalir,Air Kotor/Bau,0.5361748531576629
53,Min mau pengaduan gimana gak ada respon @pdamsuryasembada tapitagihan bln ini kok tbtb membengkak pdhal bertahun tahun gk pernah air sampai habis ratusan ribu,admin pengaduan tidak ada respon tapitagihan tiba tiba membengkak,admin adu tidak ada respon tapitagihan tiba tiba bengkak,Pelayanan,Air Tidak Mengalir,0.5053238726858486
53,Min mau pengaduan gimana gak ada respon @pdamsuryasembada tapitagihan bln ini kok tbtb membengkak pdhal bertahun tahun gk pernah air sampai habis ratusan ribu,padahal bertahun ga air sampai habis ratusan,padahal tahun ga air sampai habis ratus,Harga,Air Tidak Mengalir,0.35975497833486547
63,Min knp ya kok air rumah saya tiba” pembayaran naek ya drastis bgt padahal rumah klo sering kluarin air cuma malem karena ngisi ke rumah atas biasanya saya kena nya 90k an gak sampe 100k ini semalem bayar kenanya hampir 150k ? Ada kenaikan harga apa gimana ? Klo emg ada knp gak ada info yaaa,karena mengisi rumah kena nya tidak sampai semalam bayar kena hampir ? ada kenaikan harga ? ada tidak ada informasi,karena isi rumah kena nya tidak sampai malam bayar kena hampir ? ada naik harga ? ada tidak ada informasi,Harga,Pelayanan,0.3551757534835662
77,"Saya mengajukan surat keberatan tagihan dari bulan januari 2025, meter PDAM rusak. Sampai sekarang tidak ada tanggapan. meter pdam yg rusak, tapi pelanggan yang harus bayar tagihannya?padahal air yang digunakan tidak sebanyak tagihannya.","mengajukan surat keberatan tagihan januari , meter pdam rusak . sampai sekarang tidak ada tanggapan . meter pdam rusak ,","aju surat berat tagih januari , meter pdam rusak . sampai sekarang tidak ada tanggap . meter pdam rusak ,",Meteran (Macet/Bermasalah),Harga,0.5883742176232359
79,Air mati seharian hidup malam ajja padahal kota besar air mati terus pembayaran naik 100%,padahal kota besar air mati pembayaran naik,padahal kota besar air mati bayar naik,Air Tidak Mengalir,Harga,0.3238284921268617
92,Di rmh saya sdh 2 bulan ini tagihannya 100rb lbh namun penghuninya cima 2 org sehari kerja semua.... sedangkan kran mati tp meteran muternya kencang banget :see-no-evil_monkey:,rumah sudah tagihan lebih penghuni sehari kerja .,rumah sudah tagih lebih huni hari kerja .,Harga,Meteran (Macet/Bermasalah),0.2686289840208526
92,Di rmh saya sdh 2 bulan ini tagihannya 100rb lbh namun penghuninya cima 2 org sehari kerja semua.... sedangkan kran mati tp meteran muternya kencang banget :see-no-evil_monkey:,sedangkan keran mati,sedang keran mati,Air Tidak Mengalir,Lainnya,0.4566115759136101
96,"Daerah tegalsari air PDAM ga layak pakai seperti air sungai sudah 2hr ini,tapi sekarang airnya mati",tapi sekarang air mati,tapi sekarang air mati,Air Tidak Mengalir,Lainnya,0.5804994921852134
134,Kel simolawang  air PDAM mati hidup malam ajja sudah pengaduan tapi tetep ajja gk berubah bayarnya naik 100%,tapi tetap aja ga berubah bayar naik,tapi tetap aja ga ubah bayar naik,Harga,Lainnya,0.48085275515832404
141,Dulu tarif saya ini golongan 1.3 pas ada perubahan tarif kenapa tiba-tiba di ubah menjadi 2.1 padahal rumah saya juga ada tulisan KELUARGA MISKIN yang dari pemerintah lantai juga dari tanah dan juga rumah saya tidak tingkat atau berlantai 2 juga tidak dibuat kos atau kontrakan padahal tetangga saya semuanya tarif golongannya 1.3 emang ada yg 2.1 itupun dibuat kos atau kontrak sedangkan saya kan tidak kalau lapor ke PDAM ujung-ujungnya nanti petugas kemari di cek disuruh ganti meteran yang bayarnya juga gak murah tolong dong di cek petugas keliling meteran itu kenapa sih harus di ubah kan saya bayar nya juga jadi mahal paling sedikit saya kena itu 100 RB yang tetangga saya kena padahal rata2 cuma 20 ribu atau 25 ribu apalagi ini untuk daerah tambak asri yang notaben kebanyakan tarifnya golongan 1.3,tarif golong . pas ada perubahan tarif ubah .,tarif golong . pas ada ubah tarif ubah .,Perubahan Kode Tarif,Lainnya,0.5249614874775939
