comment_text;final_data;predicted_aspect;similarity_score
Pemasangan baru tidak ada kelanjutan setelah survey.katanya bisa komplain cs lewat wa.sedangkan di wa gak ada tanggapan….;pasang tidak lanjut survey kata komplain layan langgan whatsapp sedang whatsapp tidak tanggap;Pelayanan;0.4066688479928196
Sama naik semua ini juga komplen..biasanya cuma 90an sekrang 230an..duh semua serba membayar to …jadi g percaya sama pemerintah begini:crying_face:;komplain biasa an aduh serba bayar kan ga percaya perintah;Pelayanan;0.08191708105176987
Min kalau puteran PDAM dol itu sya ngadu kesiapa ya;admin keran pdam rusak adu ke siapa;Meteran (Macet/Bermasalah);0.26353910110886414
Denda PDAM telat ngalah2in pinjol 50k jadi 150k :face_with_tears_of_joy::face_with_tears_of_joy: parahhh;denda pdam lambat kalah pinjol parah;Harga;0.16208331219283453
Air ya klo pagi dan jam 3 sore kenapa selalu mati;air pagi jam sore mati;Air Tidak Mengalir;0.07340111084447715
gimana si, udah menghubungi layanan pengaduan sudah hampir seminggu tidak ada tindak lanjut!;si hubung layan adu hampir minggu tidak tindak;Pelayanan;0.3133545913174425
Air PDAM daerah Jemurwonosari pagi sdh mati sore juga kalau pun keluar kecil , juga kotor tolong d cek;air pdam daerah jemurwonosari pagi mati sore keluar kecil kotor cek;Air Tidak Mengalir;0.20354634247861755
Pak tolong tenggumung wetan gang garuda mati udah 3 hari ini... Tolong di tindak lanjuti ..;tenggumung wetan gang garuda mati tindak lanjut;Pelayanan;0.06520669698180426
PDAM tidak keluar air setro baru Utara 9;pdam tidak keluar air setro utara;Air Tidak Mengalir;0.10319659943394047
Td ada petugas pdam ke rmh namun tdk menggunakan seragam resmin pdam katanya mau peremajaan meteran apa betul? Untuk kelurahan dukuh menanggal;tugas pdam rumah tidak guna seragam resmi pdam kata remaja meter lurah dukuh tanggal;Meteran (Macet/Bermasalah);0.15781755401859027
Pdam naik melulu ya?;pdam;Air Kotor/Bau;0.0
Halo Kak selamat malam, maaf mengganggu waktunya, saya ingin menyampaikan keluhan terkait aliran air PDAM di wilayah tempat tinggal saya di daerah keputih makam Blk. E1. Sudah cukup lama air hanya mengalir pada malam hari, sekitar pukul 23.00 ke atas, sedangkan dari pagi hingga sore hari sama sekali tidak ada aliran air. Hal ini tentu sangat menyulitkan aktivitas rumah tangga kami. Selain itu, tekanan air yang masuk ke rumah sangat kecil. Bahkan jika saya lupa menutup valve pipa, air di tandon bisa tersedot habis, diduga karena sistem distribusi air di lingkungan kami menggunakan skema seri, bukan paralel. Ini menyebabkan aliran air tidak stabil dan tidak tersedia selama 24 jam.;halo kak selamat malam maaf ganggu keluh kait alir air pdam wilayah daerah putih makam blk nya air alir malam pagi hingga sore tidak alir air sulit aktivitas rumah tangga tekan air masuk rumah kecil lupa tutup katup pipa air tandon sedot habis duga sistem distribusi air lingkung guna skema seri bukan paralel sebab alir air tidak stabil tidak sedia jam;Air Tidak Mengalir;0.13494982344131345
Hari ini, barusan jam 14.45 WIB air mati di daerah Kebraon. Tolong petugas cek ke lapangan @pdamsuryasembada;barusan jam air mati daerah kebraon tugas cek lapang;Air Tidak Mengalir;0.04708657783010834
Tolong dicek @pdamsuryasembada  setro baru Utara air terlalu kecil sehingga tandon tidak mengisi tolong di tindak lanjuti terimakasih setro baru Utara 9;cek setro utara air kecil tandon tidak isi tindak lanjut terimakasih setro utara;Air Tidak Mengalir;0.05289456067307881
Maaf ni mau tanya kalau air pdam daerah surabaya wiyung kotor sminggu lebih. Tolong di cek kondisi tandon atau stok air. Trimakasih;maaf air pdam daerah surabaya wiyung kotor sminggu cek tandon stok air terima kasih;Air Kotor/Bau;0.08260539291055846
Halo, saya pakai cuma 4m3 setiap bulan, kenapa tagihan selalu 10m3 ya kak?;halo pakai m tagih m kak;Air Kotor/Bau;0.0
@pdamsuryasembada_ kenapa air d Kalijudan mati hari ini sampai sekarang blm klwr;air kalijudan mati keluar;Air Tidak Mengalir;0.20993411300923076
Laporan ke PDAM tambah dikasih nomer pencatat meter...ditelp gaknisanwoi. Piye Iki tagihan ku gak sesuai meteran ....fast respon dong;lapor pdam kasih nomor catat meter di telepon ga bisa woi tagih ku tidak meter cepat respon;Meteran (Macet/Bermasalah);0.07407282401704984
Petugas yg dtg ada bbrpa, jd bingung;tugas bbrpa bingung;Air Kotor/Bau;0.0
Biasanya petugas pdam sdh ijin rt dan petugas keamanan;tugas pdam ijin tugas aman;Air Kotor/Bau;0.0
"Kenapa ya PDAM saya itu dulunya tarifnya gol 1.3 tiba-tiba berubah jadi 2.1 padahal tetangga saya semuanya tarif gol nya 1.3 ada yg seperti saya tapi itu punya kos sedangkan saya saja rumah pribadi dan GK menyalurkan air ke tetangga rumah saya juga GK besar malahan ada lho dipintunya tulisan ""keluarga miskin"" yg dari pemerintah gara-gara hal itu tarif PDAM saya menjadi banyak setiap bulannya padahal saya sampai ngirit pakai air nya";pdam tarif golong ubah tetangga tarif golong nya kos rumah pribadi ga salur air tetangga rumah ga malah loh pintu tulis keluarga miskin perintah gara gara tarif pdam bulan ngirit pakai air nya;Harga;0.1168665508845729
Air pdam makin hari makin kotor sekali.... Apa nggak d treatment? Masak perusahaan daerah air minum jangankan air nya di minum.... Mau mandi aja nggak layak.... Sudah dpasang filter 1 micron pun nggak ada hasil:crying_face:;air pdam kotor tidak treatment masak usaha daerah air minum jangan air nya minum mandi tidak layak dpasang filter micron tidak hasil;Air Kotor/Bau;0.05693780588827118
Sakben maghrib banyune buko makane g mancur?? Opo sanyomu rusak gak kuat nyemprot sampek kapas gading madya?;sakben maghrib air buko makane ga mancur sanyomu rusak tidak kuat nyemprot kapas gading madya;Meteran (Macet/Bermasalah);0.08028821179815716
ngajuin surat keberatan tagihan dari bulan januari sampe sekarang gak ada tanggapan. tagihan naik gara2 meter pdam yg rusak, malah pelanggan yang harus bayar kelebihan tagihannya. sekelas perusahaan daerah koq gak profesional gini;ngajuin surat berat tagih januari tidak tanggap tagih gara meter pdam rusak langgan bayar lebih tagih kelas usaha daerah tidak profesional gin;Meteran (Macet/Bermasalah);0.09815247866672018
2 bulan tagihan air kenapa melonjak ya;tagih air lonjak;Air Kotor/Bau;0.0
Dari pagi tadi air nggak keluar.. parah parah;pagi air tidak keluar parah parah;Air Tidak Mengalir;0.07452721061875904
PDAM GA WARAS, TAGIHAN SETELAH HARI RAYA SELALU TIBA2 NAIK DRASTIS PETUGAS SALAH NYATAT HARUSNYA 14 MALAH DITULIS 114!! GILAK TAGIHANKU JADI 500RB BULAN INI GILA JGN NGAWUR LAH ORG DI RMH ISINYA CMN 2 ORG GAADA KEBOCORAN SAMA SEKALI, GAADA KOLAM RENANG AIR CMN DI PAKE BUAT MANDI SAKA CUCI BAJU KOK BISA TAGIHAN BULAN MEI KMRN 500RB GILS;pdam ga waras tagih raya drastis tugas salah nyatat tulis gilak tagih gila bicara sembarang rumah isi cuman tidak ada bocor tidak ada kolam renang air cuman pakai mandi saka cuci baju tagih mei gils;Kebocoran;0.05149683749080614
Tagihan yg sangat tidak masuk akal. Jika kelas tarif dipindah ya harus info dong ga langsung di naikkan harga. PDAM dr harga 60rb bulan ini masuk 190rb. Usaha kecil diperkampung untung pun hanya sedikit;tagih tidak masuk akal kelas tarif pindah informasi ga naik harga pdam harga masuk usaha kecil kampung untung;Harga;0.216136141922972
PDAM februari melonjak sekali ya admin.. biasany normal 500rbuan... Ini di cek hampir 700 ribuan.. mohon di bantu infonya.;pdam februari lonjak admin normal ribu an cek hampir ribu mohon bantu info;Air Kotor/Bau;0.0
Aliran air di mojo segera ditindak lanjuti dari pada saya datangi kantornya :fire::fire::fire:;alir air mojo tindak lanjut datang kantor;Air Tidak Mengalir;0.09996562313396552
Air PDAM wilayah Utara Surabaya setro baru Utara sulit mengalir kecil ,,tolong di TL;air pdam wilayah utara surabaya setro utara sulit alir kecil tl;Air Tidak Mengalir;0.13202510035820678
