comment_id,comment_text,segmented_text,stemmed_segmented_text,true_aspect,predicted_aspect,similarity_score
22,"Kenapa ya PDAM saya itu dulunya tarifnya gol 1.3 tiba-tiba berubah jadi 2.1 padahal tetangga saya semuanya tarif gol nya 1.3 ada yg seperti saya tapi itu punya kos sedangkan saya saja rumah pribadi dan GK menyalurkan air ke tetangga rumah saya juga GK besar malahan ada lho dipintunya tulisan ""keluarga miskin"" yg dari pemerintah gara-gara hal itu tarif PDAM saya menjadi banyak setiap bulannya padahal saya sampai ngirit pakai air nya",sedangkan rumah pribadi ga menyalurkan air tetangga rumah ga malahan ada loh pintu` tulisan keluarga miskin pemerintah gara gara tarif pdam banyak,sedang rumah pribadi ga salur air tetangga rumah ga malah ada loh pintu  tulis keluarga miskin perintah gara gara tarif pdam banyak,Harga,Lainnya,0.2706172403763609
22,"Kenapa ya PDAM saya itu dulunya tarifnya gol 1.3 tiba-tiba berubah jadi 2.1 padahal tetangga saya semuanya tarif gol nya 1.3 ada yg seperti saya tapi itu punya kos sedangkan saya saja rumah pribadi dan GK menyalurkan air ke tetangga rumah saya juga GK besar malahan ada lho dipintunya tulisan ""keluarga miskin"" yg dari pemerintah gara-gara hal itu tarif PDAM saya menjadi banyak setiap bulannya padahal saya sampai ngirit pakai air nya",padahal sampai irit pakai air nya,padahal sampai irit pakai air nya,Pemakaian,Pelayanan,1.0
40,"Saya sudah mengajukan penggantian meteran, karena meteran rumah yg saya tinggali macet/rusak, sejak tanggal 23 Januari 2025 dan sampai sekarang belum ada tindak lanjut. Dengan no pengaduan PM2025000000825. LALU TAGIHAN SAYA BULAN JANUARI METERAN AKHIR 136 TAPI DI TAGIHAN BULAN FEBRUARI METERAN AWAL 116 DAN METERAN AKHIR 136. PADAHAL SAYA SUDAH LAPOR METERAN SAYA MACET/RUSAK, TAPI MALAH CATATAN METERAN YG DIUBAH-UBAH","karena meter rumah macet rusak , tanggal januari sampai sekarang belum ada tindak . pengaduan pm .","karena meter rumah macet rusak , tanggal januari sampai sekarang belum ada tindak . adu pm .",Pelayanan,Air Tidak Mengalir,0.42945430706388676
40,"Saya sudah mengajukan penggantian meteran, karena meteran rumah yg saya tinggali macet/rusak, sejak tanggal 23 Januari 2025 dan sampai sekarang belum ada tindak lanjut. Dengan no pengaduan PM2025000000825. LALU TAGIHAN SAYA BULAN JANUARI METERAN AKHIR 136 TAPI DI TAGIHAN BULAN FEBRUARI METERAN AWAL 116 DAN METERAN AKHIR 136. PADAHAL SAYA SUDAH LAPOR METERAN SAYA MACET/RUSAK, TAPI MALAH CATATAN METERAN YG DIUBAH-UBAH",tapi catatan meter diubah ubah,tapi catat meter ubah ubah,Meteran (Macet/Bermasalah),Lainnya,0.7199891951491356
43,"pak mau tanya no pelanggan 1032499 an Ny. Mustiani Wikanti Pulo Wonokromo Wetan 4 knp gol. tarifny berubah yg awalnya 2.1 skrg berubah jadi 3.2A knp gol. tarifny berubah yg awalnya 2.1 skrg berubah jadi 3.2A ini sebenarnya udah lama berubah, tapi saya baru diberitahu orang tua saya,. knp seenaknya merubah, ini memberatkan loh, alasan dirubah dulu krn petugas keliling meteran bilang krn rumah dibuat kost, alasan apa itu, saya harap kembalikan ke gol tarif 2.1 terima kasih","pelanggan an . pulo wonokromo wetan golongan . tarif berubah . sekarang berubah . golongan . tarif berubah . sekarang berubah . sudah lama berubah ,","langgan an . pulo wonokromo wetan golong . tarif ubah . sekarang ubah . golong . tarif ubah . sekarang ubah . sudah lama ubah ,",Perubahan Kode Tarif,Lainnya,0.6487664125887342
46,"Kak saya warga Dukuh Kupang, PDAM yg mengalir kecil sekali,  dulu ga seperti ini, semenjak pengerjaan gorong2 yg di depan kampus WK itu malah makin parah air mengalir nya, Tp tagihan tetep banyak","kakak warga dukuh kupang , pdam mengalir kecil , ga , semenjak pengerjaan gorong-gorong kampus parah air mengalir nya ,","kakak warga dukuh kupang , pdam alir kecil , ga , semenjak kerja gorong-gorong kampus parah air alir nya ,",Air Tidak Mengalir,Lainnya,0.3885187284480468
46,"Kak saya warga Dukuh Kupang, PDAM yg mengalir kecil sekali,  dulu ga seperti ini, semenjak pengerjaan gorong2 yg di depan kampus WK itu malah makin parah air mengalir nya, Tp tagihan tetep banyak",tapi tagihan tetap banyak,tapi tagih tetap banyak,Harga,Lainnya,0.46744218001074234
48,"Saya sudah di kunjungi 3x oleh petugas pdam selama 3 tahun terakhir, yg katanya ""Meteran Bakal di Ganti yg Baru "" bahkan petugas ketiga yg datang saya titipkan pesan ""bukan hoax"" kan, karena terakhir petugas yg datang ternyata cuma omon omon saja. Jd saya sdh gk perduli, mau di ganti silahkan gak di ganti jg gpp. Toh selama ini meteran air sy lancar2 saja, walau agak berembun dan angkanya sulit terbaca. Toh selama ini tiap bulan bayar aor murah2 saja :folded_hands:","sudah kunjung petugas pdam , katanya meter ganti petugas datang titip pesan bukan hoax kan ,","sudah kunjung tugas pdam , kata meter ganti tugas datang titip pesan bukan hoax kan ,",Pelayanan,Harga,0.32003944294143866
48,"Saya sudah di kunjungi 3x oleh petugas pdam selama 3 tahun terakhir, yg katanya ""Meteran Bakal di Ganti yg Baru "" bahkan petugas ketiga yg datang saya titipkan pesan ""bukan hoax"" kan, karena terakhir petugas yg datang ternyata cuma omon omon saja. Jd saya sdh gk perduli, mau di ganti silahkan gak di ganti jg gpp. Toh selama ini meteran air sy lancar2 saja, walau agak berembun dan angkanya sulit terbaca. Toh selama ini tiap bulan bayar aor murah2 saja :folded_hands:","karena petugas datang . sudah ga peduli , ganti silahkan tidak ganti tidak apa-apa . meter air lancar , agak berembun angka sulit terbaca . bayar air murah","karena tugas datang . sudah ga peduli , ganti silah tidak ganti tidak apa . meter air lancar , agak embun angka sulit baca . bayar air murah",Meteran (Macet/Bermasalah),Harga,0.2381925157892894
52,"@pdamsuryasembada meteran saya sudah diganti, tapi air malah macet, apakah karena saya belum bayar? saya belum bayar karena ada LONJAKAN TAGIHAN TIDAK WAJAR  Saat meteran rusak , masak bisa sampai 2x tagihan rata-rata per Bulan, mohon segera ditindak lanj","meter sudah ganti ,","meter sudah ganti ,",Meteran (Macet/Bermasalah),Pemasangan,0.40250276366132576
